"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "got_wifi" "time_to_wifi"
"284" 40.3492 -74.6571 22.5 0 1 56618.0369999409 3 FALSE -1
"290" 40.3427 -74.6614 57.3047 0 1 77589.5239999294 1 TRUE 0
"294" 40.3457 -74.658 320.273 0.75 1 84593.635999918 1 FALSE -1
"295" 40.3463 -74.6612 132.891 0.75 1 85313.4500000477 1 TRUE 420
"296" 40.3442 -74.6599 147.656 1 1 85493.0950000286 1 TRUE 240
"298" 40.344 -74.6584 305.508 0.75 1 57475.0009999275 2 TRUE 540
"311" 40.3463 -74.6581 67.51 2 3 729.802000045776 2 TRUE 0
"325" 40.3427 -74.6614 57.3047 0 1 78174.8489999771 1 TRUE 0
"330" 40.344 -74.6594 64.6875 0.75 1 81171.9219999313 1 TRUE 480
"332" 40.3463 -74.6558 266.484 2 1 84413.9639999866 1 TRUE 120
"333" 40.3455 -74.6573 188.438 1 1 84532.9509999752 1 TRUE 0
"334" 40.3471 -74.6607 0 0 2 85583.4489998817 1 TRUE 0
"343" 40.3464 -74.6582 18.84 1.375 3 83824.9779999256 1 TRUE 0
"344" 40.3464 -74.6582 1.28 0.9375 3 84429.3469998837 1 TRUE 0
"348" 40.3463 -74.6611 150.82 1 1 59017.2620000839 3 TRUE 180
"350" 40.3428 -74.6613 0 0 4 73121.5829999447 1 TRUE 0
"358" 40.3427 -74.6614 57.3047 0 1 76735.6849999428 1 TRUE 0
"359" 40.3427 -74.6613 57.3047 0 1 77168.4590001106 1 TRUE 60
"360" 40.3427 -74.6614 57.3047 0 1 77469.4319999218 1 TRUE 0
"363" 40.3429 -74.6605 72.4219 1 1 81052.6889998913 1 TRUE 0
"366" 40.3467 -74.6615 0 0 2 85458.0550000668 1 TRUE 60
"371" 40.3428 -74.6614 212.695 0 1 58197.8840000629 2 TRUE 60
"380" 40.3463 -74.6581 0.11 0.375 3 82811.114000082 1 TRUE 0
"395" 40.3427 -74.6614 57.3047 0 1 77881.1029999256 1 TRUE 60
"397" 40.3427 -74.6614 57.3047 0 1 79392.5910000801 1 TRUE 60
"399" 40.3444 -74.657 55.8984 1.25 1 81359.4930000305 1 TRUE 300
"403" 40.3469 -74.6601 307.969 0.5 1 84772.8029999733 1 FALSE -1
"416" 40.3463 -74.6582 8.75 2.4375 3 80105.2829999924 1 TRUE 0
"420" 40.3464 -74.6584 9.3 0.75 3 83466.4019999504 1 TRUE 0
"421" 40.3464 -74.6583 0.67 0.6875 3 83704.0209999084 1 TRUE 0
"423" 40.3463 -74.6582 357.49 0.5625 3 1144.92199993134 2 TRUE 0
"433" 40.3427 -74.6614 57.3047 0 1 77529.4800000191 1 TRUE 60
"434" 40.3427 -74.6614 57.3047 0 1 78491.4719998837 1 TRUE 60
"437" 40.3453 -74.6544 57.6562 0.75 1 81532.6300001144 1 TRUE 120
"439" 40.3449 -74.6602 152.227 1.5 1 85432.6659998894 1 TRUE 300
"441" 40.3496 -74.6531 89 0.31275 2 43816.135999918 2 TRUE 180
"444" 40.343 -74.6603 226.055 0.25 1 57716.0920000076 2 TRUE 300
"459" 40.3462 -74.6582 38.66 0.5 3 849.740000009537 2 TRUE 0
"462" 40.3499 -74.6595 255.234 0.75 1 57877.9849998951 3 FALSE -1
"465" 40.3427 -74.6614 57.3047 0 1 75606.8469998837 1 TRUE 0
"471" 40.3456 -74.6606 139.219 1 1 85374.6240000725 1 TRUE 360
"473" 40.3463 -74.6522 167 1.1259 2 50239.6740000248 2 TRUE 0
"475" 40.3438 -74.6588 243.984 0.5 1 57535.1150000095 2 TRUE 480
"483" 40.3464 -74.6581 356.93 1.75 3 81726.8440001011 1 TRUE 0
"485" 40.3463 -74.658 355.29 0.4375 3 84248.0610001087 1 TRUE 0
"491" 40.3464 -74.6582 356.67 1.125 3 125.19000005722 2 TRUE 0
"496" 40.3463 -74.6581 0 0.3125 3 85565.989000082 1 TRUE 0
"500" 40.3464 -74.6579 25.15 1.125 3 247.729000091553 2 TRUE 0
"502" 40.3463 -74.6581 0 0.3125 3 85688.3540000916 1 TRUE 0
"506" 40.3464 -74.6581 11.28 0.3125 3 85750.0840001106 1 TRUE 0
"507" 40.3464 -74.6581 288.45 1.25 3 370.519999980927 2 TRUE 0
"520" 40.3464 -74.6582 347.14 1.0625 3 85870.4979999065 1 TRUE 0
"529" 40.3464 -74.6582 0 0.5 3 85929.5820000172 1 TRUE 0
"533" 40.3463 -74.658 7.87 1.25 3 85990.986000061 1 TRUE 0
"537" 40.3463 -74.6582 24.13 1.375 3 85150.3180000782 1 TRUE 0
"546" 40.3463 -74.6581 69.74 1 3 85210.1380000114 1 TRUE 0
"547" 40.3464 -74.6582 347.92 0.8125 3 86108.8849999905 1 TRUE 0
"552" 40.348 -74.6545 0 0 5 66551.8210000992 2 TRUE 180
"556" 40.3466 -74.6581 169.09 0.3125 3 8.42499995231628 2 TRUE 0
"558" 40.3463 -74.658 7.22 0.6875 3 85328.8010001183 1 TRUE 0
"559" 40.3464 -74.6581 54.32 0.625 3 70.9869999885559 2 TRUE 0
"560" 40.3463 -74.6582 22.07 0.5 3 85448.0799999237 1 TRUE 0
"583" 40.3463 -74.6558 0 0 5 68999.1570000648 2 TRUE 120
"604" 40.3447 -74.6557 0 0 4 72354.3259999752 4 TRUE 120
"615" 40.3427 -74.6613 0 0 4 73438.9089999199 4 TRUE 0
"629" 40.3405 -74.6573 0 0 4 58427.3629999161 4 FALSE -1
"681" 40.3461 -74.6604 335 0.81315 2 5369.00999999046 0 TRUE 0
